curdeep:274    curtime: 39.05400000000251ms          pathtime: 42.61796666666745ms
curdeep:275    curtime: 43.481900000006135ms          pathtime: 42.263699999997094ms
curdeep:277    curtime: 40.650433333333545ms          pathtime: 42.09383333333108ms
curdeep:278    curtime: 39.73996666666911ms          pathtime: 42.65823333333477ms
curdeep:281    curtime: 37.52486666665694ms          pathtime: 42.27249999999761ms
curdeep:283    curtime: 38.37233333333643ms          pathtime: 42.13026666666716ms
curdeep:285    curtime: 40.39316666667219ms          pathtime: 42.52713333333228ms
curdeep:286    curtime: 39.70719999999043ms          pathtime: 43.09316666666897ms
curdeep:287    curtime: 41.671600000002705ms          pathtime: 42.3151333333332ms
curdeep:289    curtime: 41.98429999999765ms          pathtime: 43.01206666666909ms
curdeep:291    curtime: 41.76633333333181ms          pathtime: 43.408066666665945ms
curdeep:293    curtime: 45.33543333333606ms          pathtime: 43.58246666666522ms
curdeep:294    curtime: 43.61846666667285ms          pathtime: 42.76729999999892ms
curdeep:295    curtime: 41.812033333326326ms          pathtime: 42.92903333333319ms
curdeep:297    curtime: 43.326999999999316ms          pathtime: 42.52800000000055ms
curdeep:300    curtime: 43.8953333333302ms          pathtime: 43.38573333333594ms
curdeep:303    curtime: 39.30013333333591ms          pathtime: 42.63700000000199ms
curdeep:304    curtime: 41.12190000000737ms          pathtime: 43.786400000002835ms
curdeep:305    curtime: 40.31183333333198ms          pathtime: 44.43209999999832ms
curdeep:307    curtime: 38.168766666664546ms          pathtime: 44.369433333334506ms
curdeep:309    curtime: 45.09833333333214ms          pathtime: 44.57983333333383ms
curdeep:310    curtime: 43.21186666666108ms          pathtime: 44.4518999999976ms
curdeep:311    curtime: 41.92610000000059ms          pathtime: 44.38443333333453ms
curdeep:313    curtime: 40.56110000001354ms          pathtime: 44.785066666664385ms
curdeep:314    curtime: 41.61376666667517ms          pathtime: 44.71320000000105ms
curdeep:315    curtime: 46.00900000000365ms          pathtime: 44.67156666666673ms
curdeep:317    curtime: 36.743766666662246ms          pathtime: 45.45193333333373ms
curdeep:318    curtime: 39.43903333332249ms          pathtime: 44.09133333333178ms
curdeep:321    curtime: 42.99469999999322ms          pathtime: 43.299233333330754ms
curdeep:323    curtime: 45.54866666667294ms          pathtime: 42.63896666666559ms
curdeep:326    curtime: 46.34133333333921ms          pathtime: 45.3961333333325ms
